experiment_id,timestamp,seed,model_name,model_family,edge_type,directed,graph_window,target_type,target_horizon,lookback_window,protocol_version,split_train_end,split_val_start,split_test_start,rebalance_freq,baseline_version,target_policy_hash,split_id,config_hash,run_key,prediction_rows,prediction_unique_pairs,prediction_rmse,prediction_mae,prediction_rank_ic,portfolio_final_value,portfolio_cumulative_return,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe,portfolio_sharpe_daily,portfolio_sharpe_annualized,portfolio_sortino_annualized,portfolio_max_drawdown,portfolio_turnover,runtime_train_seconds,runtime_inference_seconds,run_tag,out_dir,artifact_prefix
mlp_tuned_all_1772203207_reb1,2026-02-27 14:40:07,42,mlp,mlp,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v2,92b426b26106,e677b2c83d8f,2f660908496d,9eb683c0b5de,40192,40192,0.019975198214740003,0.013146037612126,-0.0028926887542900003,2.220050429438613,1.232759773899911,0.17487210424978,0.20892689616984503,0.054823606830727005,0.054823606830727005,0.8702984391604671,1.121565885043492,-0.28062674388166003,0.509952229299363,35.315099000930786,19.4992458820343,mlp_tuned_all,experiments_tuned_all/mlp,mlp
xgb_node2vec_corr_tuned_all_1771427144_reb1,2026-02-18 15:05:44,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2015-12-31,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,75fe00a1eac3,40192,40192,0.020150503013505003,0.013203828907202002,0.016009222498116,1.7477071345368551,0.7587939828469491,0.119951413221014,0.20000081259429703,0.041587052931409005,0.041587052931409005,0.6601739988995341,0.826519055097465,-0.29483872443435605,0.5656847133757961,80.5479748249054,0.088141202926635,xgb_node2vec_corr_tuned_all,experiments_tuned_all/xgb_node2vec_corr,xgb_node2vec
gcn_sector_only_tuned_all_1771427780_reb1,2026-02-18 15:16:20,42,gcn,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,66e308f98ffa,40192,40192,0.019992852014898,0.013149809836557001,0.005828628484046,1.684794165307252,0.701806088025791,0.11257447259433001,0.208652924290701,0.038177659215009006,0.038177659215009006,0.6060515515289381,0.744592648830779,-0.31936000946327303,0.576990445859872,31.151485204696655,20.529932975769043,gcn_sector_only_tuned_all,experiments_tuned_all/gcn_sector_only,gcn
gat_corr_only_tuned_all_1771429248_reb1,2026-02-18 15:40:48,42,gat,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,70c479a4422f,40192,40192,0.020076720531110002,0.013168452906317001,0.015159966113284,1.631072910204374,0.648872936840449,0.10554334286004101,0.21610450715078103,0.03543612377828,0.03543612377828,0.562531025672602,0.6843661687554,-0.351065433535357,0.514570063694267,65.78625512123108,20.894680976867676,gat_corr_only_tuned_all,experiments_tuned_all/gat_corr_only,gat
gcn_granger_only_tuned_all_1771428065_reb1,2026-02-18 15:21:05,42,gcn,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,3591d70c5c82,40192,40192,0.019999401545765003,0.01314469514397,-0.00160778863588,1.564397468012839,0.574771535345945,0.09539089700938601,0.19708354714963502,0.034906849249324,0.034906849249324,0.554129052999207,0.7086442693787971,-0.29018493241855203,0.477945859872611,35.172977924346924,20.678525924682617,gcn_granger_only_tuned_all,experiments_tuned_all/gcn_granger_only,gcn
gcn_corr_sector_granger_tuned_all_1771428434_reb1,2026-02-18 15:27:14,42,gcn,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,3cbdc6fbae4c,40192,40192,0.019937123875751,0.013138913397631001,5.6280011228362746e-05,1.521219217661017,0.532964707247602,0.08949340234409901,0.190826071195935,0.033798484624538,0.033798484624538,0.536534310044216,0.6812018871721071,-0.25114378842636503,0.5401273885350321,23.544135093688965,20.754667043685913,gcn_corr_sector_granger_tuned_all,experiments_tuned_all/gcn_corr_sector_granger,gcn
lstm_tuned_all_1771427050_reb1,2026-02-18 15:04:10,42,lstm,lstm,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,933109ce755b,40192,40192,0.020438032286824,0.013360445405434001,-0.0010170822514770001,1.574301909589023,0.5900140735985271,0.09750997100618701,0.21433081289258502,0.033531089284734,0.033531089284734,0.5322895406190641,0.645005049500171,-0.35233756308434305,0.370541401273885,254.4479660987854,9.50074291229248,lstm_tuned_all,experiments_tuned_all/lstm,lstm
xgb_raw_tuned_all_1771422616_reb1,2026-02-18 13:50:16,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,67787a883a67,40192,40192,0.020041729337201,0.013153001755669,0.004276161126276001,1.499533759701447,0.5047474024648071,0.08543983179181601,0.19677633118253202,0.032220610370186004,0.032220610370186004,0.511486332781339,0.6503574131075901,-0.291507335396396,0.602229299363057,1.237914085388183,0.021335124969482002,xgb_raw_tuned_all,experiments_tuned_all/xgb_raw,xgb_raw
tgat_static_corr_only_tuned_all_1771575958_reb1,2026-02-20 08:25:58,42,tgat_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,d1fbb8e24eb9,40192,40192,0.01999388727546,0.013127782372819,0.0036864569434970004,1.548535643084901,0.5568527287561841,0.09287868835781901,0.222551668086254,0.031845894509515,0.031845894509515,0.505537902903453,0.646008480083869,-0.339228011243069,0.464570063694267,139818.84152507782,22.61193299293518,tgat_static_corr_only_tuned_all,experiments_tuned_all/tgat_static_corr_only,tgat_static
gat_granger_only_tuned_all_1771430273_reb1,2026-02-18 15:57:53,42,gat,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,6045f2f78d7b,40192,40192,0.019998195665165003,0.013143600720930002,-0.0075959821047740005,1.5188657657728561,0.531811222716797,0.089328872087871,0.213689887264866,0.031465040779311004,0.031465040779311004,0.499492037367381,0.6320059122768851,-0.32346923687715,0.556210191082802,58.68906807899475,20.962454080581665,gat_granger_only_tuned_all,experiments_tuned_all/gat_granger_only,gat
gat_sector_only_tuned_all_1771429783_reb1,2026-02-18 15:49:43,42,gat,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,e2ff1167dddc,40192,40192,0.019981358423233002,0.013144862517934001,0.0034558957652210003,1.472636575091475,0.48745850508299005,0.082926071105429,0.20852659178968402,0.030030742369909002,0.030030742369909002,0.47672325598459203,0.594941785157674,-0.31764210787247105,0.5738853503184711,58.341113805770874,20.676901817321777,gat_sector_only_tuned_all,experiments_tuned_all/gat_sector_only,gat
gat_corr_sector_granger_tuned_all_1771431245_reb1,2026-02-18 16:14:05,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,cfd37ef33612,40192,40192,0.020004810644724,0.013157623236368002,-0.007697759998567001,1.43792772173391,0.44815402330478105,0.077123201532362,0.20745825672315202,0.028664746994872002,0.028664746994872002,0.455038751658113,0.564603251906964,-0.32119661841893804,0.5822452229299361,130.02531814575195,21.54154109954834,gat_corr_sector_granger_tuned_all,experiments_tuned_all/gat_corr_sector_granger,gat
gcn_corr_only_tuned_all_1771427485_reb1,2026-02-18 15:11:25,42,gcn,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,22e355c21cb9,40192,40192,0.019943355604769,0.013134635566428,-0.001751312819424,1.394107526637856,0.40249190508356103,0.070221422046901,0.188870127227514,0.028182198446576,0.028182198446576,0.44737853093226604,0.5768694162353281,-0.254558076339917,0.557484076433121,22.17281985282898,20.441216945648193,gcn_corr_only_tuned_all,experiments_tuned_all/gcn_corr_only,gcn
tgcn_static_corr_only_tuned_all_1771433315_reb1,2026-02-18 16:48:35,42,tgcn_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,bc3875a10e37,40192,40192,0.019953487356717002,0.013147438222743,-0.0006028948413760001,1.3712052649495161,0.38685651398278403,0.067816855910588,0.20061819690780502,0.026222307565234002,0.026222307565234002,0.41626622771915306,0.5182666073367881,-0.32801945306108904,0.580254777070063,1075.3046219348907,21.738582849502563,tgcn_static_corr_only_tuned_all,experiments_tuned_all/tgcn_static_corr_only,tgcn_static
graphlasso_linear_tuned_all_1772041294_reb1,2026-02-25 17:41:34,42,graphlasso_linear,xgboost,graphlasso,False,2010-01-01..2020-01-01,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,1,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,113d64fe54b5,96768bf853ce,40192,40192,0.020002283050528,0.013127531253621,0.006435047221727001,1.401273809829456,0.414350072454211,0.07203084071039201,0.22193672901048303,0.026203397554917,0.026203397554917,0.415966338140386,0.531119450934259,-0.32232673502708303,0.555095541401273,25.2472083568573,0.0007169246673580001,graphlasso_linear_tuned_all,experiments_tuned_all/graphlasso_linear,graphlasso_linear
xgb_node2vec_corr_tuned_all_1771427144_reb5,2026-02-18 15:05:44,42,xgb_node2vec,xgboost,node2vec_correlation,False,2000-03-29..2015-12-31,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,64952c498bf0,40192,40192,0.020150503013505003,0.013203828907202002,0.016009222498116,2.011157102306581,1.023915185901033,0.15194962775870702,0.198616588934712,0.050762532347809,0.050762532347809,0.8058302190730461,0.952996280690607,-0.32841801947119004,0.136146496815286,80.5479748249054,0.088141202926635,xgb_node2vec_corr_tuned_all,experiments_tuned_all/xgb_node2vec_corr,xgb_node2vec
mlp_tuned_all_1772203208_reb5,2026-02-27 14:40:08,42,mlp,mlp,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v2,92b426b26106,e677b2c83d8f,2f660908496d,d7b09cd9d2de,40192,40192,0.019975198214740003,0.013146037612126,-0.0028926887542900003,2.099649078618426,1.11166914943941,0.161801527391667,0.21573220689895703,0.050286388608725,0.050286388608725,0.798272258944222,0.9615437663559371,-0.33046400953286503,0.13805732484076402,35.315099000930786,19.4992458820343,mlp_tuned_all,experiments_tuned_all/mlp,mlp
xgb_raw_tuned_all_1771422617_reb5,2026-02-18 13:50:17,42,xgb_raw,xgboost,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,725b09e91479,40192,40192,0.020041729337201,0.013153001755669,0.004276161126276001,1.872559557908624,0.879070152635077,0.13491434348428902,0.196652417868124,0.046551242451813,0.046551242451813,0.738978064491419,0.8914251142211861,-0.31168445919945903,0.140207006369426,1.237914085388183,0.021335124969482002,xgb_raw_tuned_all,experiments_tuned_all/xgb_raw,xgb_raw
lstm_tuned_all_1771427051_reb5,2026-02-18 15:04:11,42,lstm,lstm,none,False,,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,09310fc18c1d,40192,40192,0.020438032286824,0.013360445405434001,-0.0010170822514770001,1.9007722009428711,0.91974266930349,0.139800946134733,0.211838990669958,0.044999583426734005,0.044999583426734005,0.7143462410918561,0.8885056097868831,-0.347303382728054,0.12850318471337502,254.4479660987854,9.50074291229248,lstm_tuned_all,experiments_tuned_all/lstm,lstm
gat_corr_sector_granger_tuned_all_1771431246_reb5,2026-02-18 16:14:06,42,gat,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,8c68d217e66e,40192,40192,0.020004810644724,0.013157623236368002,-0.007697759998567001,1.853076738280619,0.8662555102544791,0.13335721489138402,0.20645301570933303,0.044282264612971,0.044282264612971,0.702959157940076,0.863224940163526,-0.308935219402487,0.146894904458598,130.02531814575195,21.54154109954834,gat_corr_sector_granger_tuned_all,experiments_tuned_all/gat_corr_sector_granger,gat
tgat_static_corr_only_tuned_all_1771575958_reb5,2026-02-20 08:25:58,42,tgat_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,9bdee7f1b541,40192,40192,0.01999388727546,0.013127782372819,0.0036864569434970004,1.9014424959380412,0.911655021693166,0.138835892120091,0.22189351421036801,0.043608419283759005,0.043608419283759005,0.69226219496076,0.8590518755868041,-0.34548144579072904,0.125159235668789,139818.84152507782,22.61193299293518,tgat_static_corr_only_tuned_all,experiments_tuned_all/tgat_static_corr_only,tgat_static
gcn_sector_only_tuned_all_1771427781_reb5,2026-02-18 15:16:21,42,gcn,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,6ae60981bc69,40192,40192,0.019992852014898,0.013149809836557001,0.005828628484046,1.861982455732079,0.8807835070963641,0.13512189217495602,0.21341019013034102,0.0435690863959,0.0435690863959,0.691637804723037,0.824865307888458,-0.34018079454750405,0.14299363057324802,31.151485204696655,20.529932975769043,gcn_sector_only_tuned_all,experiments_tuned_all/gcn_sector_only,gcn
gat_sector_only_tuned_all_1771429784_reb5,2026-02-18 15:49:44,42,gat,gnn,sector,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,602700f1cd84,40192,40192,0.019981358423233002,0.013144862517934001,0.0034558957652210003,1.817587135668736,0.835880956244724,0.129631923830886,0.21305961078071703,0.042182349499748,0.042182349499748,0.669624038956466,0.8043923846794161,-0.318447808849727,0.144108280254777,58.341113805770874,20.676901817321777,gat_sector_only_tuned_all,experiments_tuned_all/gat_sector_only,gat
gat_granger_only_tuned_all_1771430274_reb5,2026-02-18 15:57:54,42,gat,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,3fccfa77ecde,40192,40192,0.019998195665165003,0.013143600720930002,-0.0075959821047740005,1.807734131983757,0.8231416452077971,0.128054831499719,0.21766730124305703,0.041260794225602006,0.041260794225602006,0.65499480250773,0.8036526352356561,-0.35199981165231903,0.13542993630573202,58.68906807899475,20.962454080581665,gat_granger_only_tuned_all,experiments_tuned_all/gat_granger_only,gat
gcn_corr_only_tuned_all_1771427486_reb5,2026-02-18 15:11:26,42,gcn,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,e3782196badf,40192,40192,0.019943355604769,0.013134635566428,-0.001751312819424,1.67306793242887,0.6831300219326021,0.11011394271512201,0.194318043915806,0.039635881050012006,0.039635881050012006,0.629200105519622,0.745305114947671,-0.306196028597646,0.13630573248407601,22.17281985282898,20.441216945648193,gcn_corr_only_tuned_all,experiments_tuned_all/gcn_corr_only,gcn
tgcn_static_corr_only_tuned_all_1771433316_reb5,2026-02-18 16:48:36,42,tgcn_static,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,f07e6065a953,40192,40192,0.019953487356717002,0.013147438222743,-0.0006028948413760001,1.728969438708621,0.748704289462082,0.11865938753181202,0.21301244974465702,0.039253745385575,0.039253745385575,0.623133889908494,0.7306557032738631,-0.33500199501223304,0.14108280254777,1075.3046219348907,21.738582849502563,tgcn_static_corr_only_tuned_all,experiments_tuned_all/tgcn_static_corr_only,tgcn_static
graphlasso_linear_tuned_all_1772041295_reb5,2026-02-25 17:41:35,42,graphlasso_linear,xgboost,graphlasso,False,2010-01-01..2020-01-01,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,113d64fe54b5,a0689a22bcaa,40192,40192,0.020002283050528,0.013127531253621,0.006435047221727001,1.720628900385555,0.7366852879547511,0.11711250581207601,0.22146125309826803,0.037980567256214,0.037980567256214,0.602923245858214,0.7369788606180081,-0.357221223063237,0.135987261146496,25.2472083568573,0.0007169246673580001,graphlasso_linear_tuned_all,experiments_tuned_all/graphlasso_linear,graphlasso_linear
gcn_granger_only_tuned_all_1771428066_reb5,2026-02-18 15:21:06,42,gcn,gnn,granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,edebeee77e61,40192,40192,0.019999401545765003,0.01314469514397,-0.00160778863588,1.649135316135523,0.6600713098077221,0.107045719187528,0.202211276737462,0.037670180381672004,0.037670180381672004,0.5979955747971001,0.717210304109236,-0.31721007009650504,0.134872611464968,35.172977924346924,20.678525924682617,gcn_granger_only_tuned_all,experiments_tuned_all/gcn_granger_only,gcn
gat_corr_only_tuned_all_1771429249_reb5,2026-02-18 15:40:49,42,gat,gnn,corr,False,2000-06-26..2024-12-27,regression,1,60,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,9b3a8cc400ee,40192,40192,0.020076720531110002,0.013168452906317001,0.015159966113284,1.6748603764814352,0.693138259172369,0.111435203941687,0.213993481227014,0.037219369940391,0.037219369940391,0.5908391809007321,0.7255235959705351,-0.346289290416716,0.139490445859872,65.78625512123108,20.894680976867676,gat_corr_only_tuned_all,experiments_tuned_all/gat_corr_only,gat
gcn_corr_sector_granger_tuned_all_1771428435_reb5,2026-02-18 15:27:15,42,gcn,gnn,corr+sector+granger,True,2000-06-26..2024-12-27,regression,1,250,v1_thesis_core,2015-12-31,2016-01-01,2020-01-01,5,price_bh_v2_eqw_v1,92b426b26106,e677b2c83d8f,legacy_config,f0a36ee2e35b,40192,40192,0.019937123875751,0.013138913397631001,5.6280011228362746e-05,1.600951549840665,0.613312660940874,0.10071785979962401,0.19971255289407203,0.036135573445564,0.036135573445564,0.573634444918043,0.662571848064613,-0.33409262923451005,0.134474522292993,23.544135093688965,20.754667043685913,gcn_corr_sector_granger_tuned_all,experiments_tuned_all/gcn_corr_sector_granger,gcn
