run_tag,model_name,edge_type,rebalance_freq,rebalance_label,active_return_annualized,tracking_error_annualized,information_ratio_annualized,relative_final_value,relative_max_drawdown,active_return_mean_daily_arithmetic,active_return_type,annualization_days
gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,1,reb=1,0.10657007523408656,0.29832499658843764,0.35722811180019287,1.119269369350565,-0.07450587687674359,0.0004228971239447879,arithmetic,252
xgb_raw_rolling_cv_y2020,xgb_raw,none,1,reb=1,0.14104805760425276,0.5530664377291348,0.25502913932617133,1.1377112277217987,-0.17784853799556932,0.0005597145143025903,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,1,reb=1,0.13079871337987337,0.5394095968778655,0.24248495788162472,1.1294828089278388,-0.17164103264012553,0.0005190425134121959,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,1,reb=1,0.026014089993034,0.1527559204727864,0.1702984075021068,1.020260833751637,-0.05900561963702278,0.00010323051584537301,arithmetic,252
xgb_raw_rolling_cv_y2022,xgb_raw,none,1,reb=1,0.05148919698368436,0.302806701383794,0.1700398199524128,1.0550137612119677,-0.08099957481841036,0.0002043222102527157,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,1,reb=1,0.021451907194053547,0.16555673159499706,0.1295743579097197,1.0244749683180996,-0.04091988034623251,8.512661584941884e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,1,reb=1,0.013634837893590636,0.14515450152564344,0.09393327626964337,1.005030250839589,-0.05969212147794256,5.410649957774062e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,1,reb=1,0.008565225319775382,0.5778860775924431,0.014821650238502628,0.9853132837707632,-0.2025033302556568,3.398898936418803e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,1,reb=1,6.379823272532847e-05,0.16478891331802417,0.0003871512436167658,1.006732860910773,-0.05935680856938952,2.531675901798749e-07,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,1,reb=1,-0.00144349932622459,0.3056251824473105,-0.004723103360350381,0.9994110110797007,-0.07448605083553617,-5.728171929462659e-06,arithmetic,252
xgb_raw_rolling_cv_y2023,xgb_raw,none,1,reb=1,-0.0035179436845319345,0.16318609456413233,-0.021557864313919095,0.9987313537159836,-0.060901993892082285,-1.3960093986237836e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,1,reb=1,-0.009122205774536978,0.17196441506779442,-0.05304705494413297,0.9997787753053986,-0.06605046187231667,-3.619922926403562e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,1,reb=1,-0.01289482574117596,0.16552842503926132,-0.07790097524408551,0.9940911675426491,-0.0739640234106006,-5.116994341736492e-05,arithmetic,252
xgb_raw_rolling_cv_y2021,xgb_raw,none,1,reb=1,-0.02243764326730101,0.16944745748242335,-0.13241652368627868,0.9859237458927536,-0.06517341466941506,-8.903826693373417e-05,arithmetic,252
xgb_raw_rolling_cv_y2024,xgb_raw,none,1,reb=1,-0.03536945128377795,0.14343092907552202,-0.24659570646129295,0.9587602071858008,-0.06387741873017017,-0.00014035496541181725,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,5,reb=5,0.07121143966488788,0.5650707290461566,0.12602217033094829,1.0517242574054122,-0.194594520763671,0.00028258507803526935,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,5,reb=5,0.03397484832331456,0.3002156957601053,0.11316812812632884,1.0366727584608624,-0.07842760435751817,0.00013482082667981966,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,5,reb=5,0.03111493816930096,0.29435330098381096,0.10570609558413697,1.039448957017689,-0.07464624306157763,0.0001234719768623054,arithmetic,252
xgb_raw_rolling_cv_y2020,xgb_raw,none,5,reb=5,0.04265708233366887,0.5581186680818405,0.07643012995833673,1.028746278798356,-0.2001058459082088,0.00016927413624471773,arithmetic,252
xgb_raw_rolling_cv_y2022,xgb_raw,none,5,reb=5,0.022093215397452643,0.3033258142461816,0.07283658152326469,1.0251853140207907,-0.08530673433494618,8.767148967243112e-05,arithmetic,252
xgb_raw_rolling_cv_y2023,xgb_raw,none,5,reb=5,0.010100621939567228,0.16228342025471013,0.06224062768527994,1.0128100067367003,-0.055470069410872624,4.008183309352075e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,5,reb=5,0.01930608623931631,0.5495072665390873,0.03513345030159494,1.0061429208562886,-0.19722213051339932,7.661145333062028e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,5,reb=5,0.0006336817803706616,0.16933415958586992,0.0037421969785684,1.009673903800718,-0.06187297420160354,2.5146102395661174e-06,arithmetic,252
xgb_raw_rolling_cv_y2024,xgb_raw,none,5,reb=5,-0.003215128145186778,0.14610095409349252,-0.022006209097918426,0.9894287500513834,-0.06730009337823584,-1.2758445020582451e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,5,reb=5,-0.0035387131142420084,0.14777017456915906,-0.023947411069652817,0.9877222528476627,-0.06958335920313963,-1.4042512358103208e-05,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,5,reb=5,-0.008261889440681326,0.1645896388394848,-0.050196898777684865,0.9991785407452335,-0.05176317255724583,-3.2785275558259233e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,5,reb=5,-0.012325615379682117,0.15028176560000986,-0.08201670595545166,0.9829500208624661,-0.06949539641171076,-4.89111721415957e-05,arithmetic,252
xgb_raw_rolling_cv_y2021,xgb_raw,none,5,reb=5,-0.033771529170196775,0.16365697075808242,-0.20635558029555504,0.9751020330067188,-0.07815158469662165,-0.000134014004643638,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,5,reb=5,-0.03357012157873688,0.16200964713787758,-0.20721063326659292,0.9741561490670613,-0.076419950318106,-0.00013321476816959078,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,5,reb=5,-0.05843383489347177,0.1698018281436987,-0.34412959820444805,0.9467471451626461,-0.0893700096766954,-0.00023188029719631656,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2020,gat,corr+sector+granger,21,reb=21,0.1462136055471079,0.5289273142824246,0.27643421241247546,1.1424080433529813,-0.16930456934851779,0.0005802127204250314,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2024,gat,corr+sector+granger,21,reb=21,0.037691956828973326,0.15204726304639282,0.24789631903780288,1.0321437623017702,-0.05278587733696816,0.00014957125725783066,arithmetic,252
xgb_raw_rolling_cv_y2022,xgb_raw,none,21,reb=21,0.03882219198554955,0.2954942632327605,0.13138052685296758,1.042284121096217,-0.10187565923609387,0.00015405631740297442,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2020,xgb_node2vec,node2vec_correlation,21,reb=21,0.05676712699313549,0.5068897514933576,0.11199107266598463,1.0566209826738728,-0.16895089810157493,0.00022526637695688688,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2022,xgb_node2vec,node2vec_correlation,21,reb=21,0.022706308821430165,0.30151220298429926,0.07530809233154839,1.0231222159511695,-0.06931116385959157,9.010440008504034e-05,arithmetic,252
xgb_raw_rolling_cv_y2020,xgb_raw,none,21,reb=21,0.01877674406111925,0.5046970433100689,0.037203990611816305,1.0194352944632796,-0.16539396385750194,7.451088913142559e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2022,gat,corr+sector+granger,21,reb=21,0.0016996058746066637,0.3011603318983856,0.0056435250416051715,1.0079947700805079,-0.10852966811490516,6.74446775637565e-06,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2024,xgb_node2vec,node2vec_correlation,21,reb=21,-0.004040637992559278,0.14820846826311504,-0.027263205941686942,0.9870293240255048,-0.055451938069255635,-1.6034277748251105e-05,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2023,gat,corr+sector+granger,21,reb=21,-0.02874398071888624,0.16145205087905415,-0.17803416285135168,0.9760737622101553,-0.07263306567073091,-0.00011406341555113588,arithmetic,252
xgb_raw_rolling_cv_y2024,xgb_raw,none,21,reb=21,-0.03160044515541592,0.14871165168799724,-0.21249474938059915,0.9616850905969762,-0.07641316256567243,-0.00012539859188657112,arithmetic,252
xgb_raw_rolling_cv_y2023,xgb_raw,none,21,reb=21,-0.03440223000597347,0.16026746981470516,-0.214655101535876,0.9694896418694312,-0.058723084291046224,-0.00013651678573798996,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2023,xgb_node2vec,node2vec_correlation,21,reb=21,-0.05194542685294944,0.16241056065070017,-0.31984020401647145,0.9564935474916066,-0.08567312478730205,-0.00020613264624186288,arithmetic,252
xgb_raw_rolling_cv_y2021,xgb_raw,none,21,reb=21,-0.05237469100404539,0.16269755067107058,-0.32191444055560814,0.9574916945768293,-0.09496453452618536,-0.00020783607541287853,arithmetic,252
gat_corr_sector_granger_rolling_cv_y2021,gat,corr+sector+granger,21,reb=21,-0.06259333684308165,0.16282000755918655,-0.3844327105827483,0.9490214483242491,-0.09984067017536857,-0.00024838625731381605,arithmetic,252
xgb_node2vec_corr_rolling_cv_y2021,xgb_node2vec,node2vec_correlation,21,reb=21,-0.07542337308076034,0.16235309702379946,-0.46456380853457935,0.9347590054104807,-0.10940248044202316,-0.00029929909952682677,arithmetic,252
